"Timestamp","EventType","SecondsSincePrevious","PID","ProcessName","ProcessPath","ProductVersion","FileVersion","CompanyName","WindowTitle","WindowClass","ParentPID","ParentProcess","IsVisible","WindowStyle","WindowRect","OwnerInfo","CommandLine"
"2026-05-02 23:12:19.110","FOREGROUND","0.06","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 23:14:51.011","FOREGROUND","151.901","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 23:14:51.040","FOREGROUND","0.029","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 23:15:07.427","FOREGROUND","16.387","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 23:15:07.458","FOREGROUND","0.031","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 23:16:07.953","FOREGROUND","60.495","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 23:16:07.983","FOREGROUND","0.031","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 23:17:19.069","FOREGROUND","71.085","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 23:17:19.114","FOREGROUND","0.045","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 23:19:52.338","FOREGROUND","153.225","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 23:19:52.408","FOREGROUND","0.069","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
"2026-05-02 23:20:09.024","FOREGROUND","16.617","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","GeniumWindow","14964","EXITED","True","Style=0x16CF0000 ExStyle=0x00000100","1532,288,2542,962","","NortonUI.exe /nogui"
"2026-05-02 23:20:09.059","FOREGROUND","0.034","15024","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","26.4.10932.0","26.4.10932.0","Gen Digital Inc.","Norton 360","CefHeaderWindow","14964","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","NortonUI.exe /nogui"
